action,id,name,field,old,new,reason
update,151,URAD WHITE SPLIT PEALED,size,4LB,4 LB,1 size spelling
update,159,CINAMMON STICKS,size,14 oz,14 OZ,1 size spelling
update,161,CINAMMON STICKS,size,7 oz,7 OZ,1 size spelling
update,164,SUPARI TUKDA,size,7OZ,7 OZ,1 size spelling
update,165,JUMBO CASHEW,size,1LB,1 LB,1 size spelling
update,166,JUMBO CASHEW,size,2LB,2 LB,1 size spelling
update,168,ROASTED PISTACHO,size,2LB,2 LB,1 size spelling
update,169,JUMBO ALMOND,size,2LB,2 LB,1 size spelling
update,170,JUMBO DATES,size,1.5LB,1.5 LB,1 size spelling
update,172,JUMBO CASHEW,size,3LB,3 LB,1 size spelling
update,176,BASMATI RICE,size,4.0LB,4 LB,1 size spelling
update,182,FENNEL CANDY,size,14Oz,14 OZ,1 size spelling
update,185,CARDAMOM SEEDS,size,3.5 oz,3.5 OZ,1 size spelling
update,187,AAOJEE RASMALAI,size,2 PIECES,2 PCS,1 size spelling
update,188,ROSE BRAND TUKMARIA,size,7oz,7 OZ,1 size spelling
update,189,LAZIZA FIRNI,size,150GMS,150 GM,1 size spelling
update,190,LAZIZA RABRI FALOODA,size,235GMS,235 GM,1 size spelling
update,191,LAZIZA JELLY FALOODA,size,235gm,235 GM,1 size spelling
update,192,LAZIZA KULFI MALAI MIX,size,152GMS,152 GM,1 size spelling
update,197,ASSAM TEA,size,900GMS,900 GM,1 size spelling
update,198,ASSAM TEA,size,2Lb,2 LB,1 size spelling
update,199,ASSAM TEA,size,450GMS,450 GM,1 size spelling
update,202,WHOLE WHEAT ATTA,size,8Lb,8 LB,1 size spelling
update,204,FENNEL SEEDS,size,200GMS,200 GM,1 size spelling
update,205,RICE FLOUR,size,4LBS,4 LB,1 size spelling
update,206,MATER  SOYA WADI,name,MATER  SOYA WADI,MATER SOYA WADI,2 stray spaces
update,209,MUSTARD OIL,size,500 mL,500 ML,1 size spelling
update,214,ROSE BRAND JAVETRI,size,3.5 oz,3.5 OZ,1 size spelling
update,215,FLEX SEEDS,size,7OZ,7 OZ,1 size spelling
update,216,ROSE BRAND BLACK SALT,size,7oz,7 OZ,1 size spelling
update,217,ALOO SABZI,ingredients,"Potatoes, Tomatoes, Cumin, Cilantro, Salt, Ginger, Chillis,Curry Leaves,Asafoetida, Oil & Spices","Potatoes, Tomatoes, Cumin, Cilantro, Salt, Ginger, Chillis, Curry Leaves, Asafoetida, Oil & Spices",2 ingredient spacing/punctuation
update,218,COCONUT FLAKES,size,1 lb,1 LB,1 size spelling
update,219,ROASTED KALA CHANA,size,1IB.,1 LB,1 size spelling
update,223,TOOR DAL,size,8LB,8 LB,1 size spelling
update,224,BROWN BASMATI RICE,size,4LBS,4 LB,1 size spelling
update,226,COCONUT SLICES,size,200 GRAMS,200 GM,1 size spelling
update,227,COCONUT POWDER,size,1LB,1 LB,1 size spelling
update,229,PEANUTS BLANCHED,size,2LBS,2 LB,1 size spelling
